file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,160,0.2226,0.7173,0.6875,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,161,0.2226,0.7502,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,162,0.2226,0.7582,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,163,0.2226,0.7672,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,164,0.2226,0.7512,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,165,0.2226,0.7532,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,166,0.2229,0.7502,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,167,0.2229,0.7582,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,168,0.2229,0.7552,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,169,0.2229,0.7612,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,170,0.2229,0.7602,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,171,0.2229,0.7592,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,172,0.2229,0.7652,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,173,0.2229,0.7622,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,174,0.223,0.7443,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,175,0.223,0.7522,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
